data,IPCA var(%) m,IPCA var(%) a,lim_sup,lim_inf,meta,ipca_EX0 var(%) a,ipca_MA var(%) a,ipca_3 var(%) a
2019-01-01,0.32,3.7765157688874673,5.75,2.75,4.25,2.6189025734099314,2.8048220265846524,2.5585574933954858
2019-02-01,0.43,3.8903058081077413,5.75,2.75,4.25,2.4146248734528974,2.7637821774722404,2.5585574933954636
2019-03-01,0.75,4.575365272922949,5.75,2.75,4.25,2.7113305798795118,2.9587798666135035,2.5278727748874186
2019-04-01,0.57,4.940575588683482,5.75,2.75,4.25,3.029608393551664,3.2469491825137364,2.8349957088112054
2019-05-01,0.13,4.658364877439025,5.75,2.75,4.25,2.9883924285977637,3.2881737579509407,2.8760557989324864
2019-06-01,0.01,3.366413898801901,5.75,2.75,4.25,2.967842016060862,3.000176460079751,2.9171036017450414
2019-07-01,0.19,3.222176901434848,5.75,2.75,4.25,2.7933724342535493,2.938536617793619,2.629510897069509
2019-08-01,0.11,3.4288072225266975,5.75,2.75,4.25,2.9681561241297283,2.9077166966506196,2.6704766732982277
2019-09-01,-0.04,2.8935466755948713,5.75,2.75,4.25,2.6399380749244195,2.6921924071692027,2.557854491067846
2019-10-01,0.1,2.5350325756799297,5.75,2.75,4.25,2.5887614005751125,2.661446241777865,2.7011918139065116
2019-11-01,0.51,3.2748384024610333,5.75,2.75,4.25,2.7631622949561008,2.702432945537403,2.9170369928589457
2019-12-01,1.15,4.306039984113186,5.75,2.75,4.25,2.79383176241379,2.927724951201216,2.9067954726088363
2020-01-01,0.21,4.1916693262358695,5.5,2.5,4.0,2.609282692822412,2.886713804692098,2.722098860932043
2020-02-01,0.25,4.004927312109352,5.5,2.5,4.0,2.865115151914921,2.8661693330857663,2.8554775350423167
2020-03-01,0.07,3.302958571938297,5.5,2.5,4.0,2.3630342033698515,2.712362261714496,2.7323464765406813
2020-04-01,-0.31,2.39904484475022,5.5,2.5,4.0,1.87340534021474,2.3847311221236733,2.2414402912869003
2020-05-01,-0.38,1.8774877402777834,5.5,2.5,4.0,1.6491717316619692,2.088467182536635,1.884380781189643
2020-06-01,0.26,2.1321559928031864,5.5,2.5,4.0,1.385437726570382,2.159829202736119,1.5694524928043352
2020-07-01,0.36,2.305451396723557,5.5,2.5,4.0,1.2639695503803505,2.1292424275256794,1.6711032659155745
2020-08-01,0.24,2.438302347493404,5.5,2.5,4.0,0.8999652664249291,2.1904159779465138,1.518976926864335
2020-09-01,0.64,3.135161547136245,5.5,2.5,4.0,1.1621216666374945,2.415100082635213,1.711535633224548
2020-10-01,0.86,3.9182057307108664,5.5,2.5,4.0,1.6566785818989294,2.721823952304625,2.0664258482741893
2020-11-01,0.89,4.311091196611461,5.5,2.5,4.0,1.9814278795549534,2.9472933853037953,2.321260627681676
2020-12-01,1.35,4.517341500509886,5.5,2.5,4.0,2.2958410336341606,3.131658252574243,2.443459585437635
2021-01-01,0.25,4.559060826525441,5.25,2.25,3.75,2.490047766212,3.2549846002604133,2.903948615638874
2021-02-01,0.86,5.195280548262882,5.25,2.25,3.75,2.622595579678011,3.5540054264445065,3.1092432762187094
2021-03-01,0.93,6.09932712837189,5.25,2.25,3.75,3.1259496520908536,3.7504241249672443,3.40790169162124
2021-04-01,0.31,6.7591885269032925,5.25,2.25,3.75,3.5080123473073543,4.030550270104638,3.821657425107716
2021-05-01,0.83,8.055902220112966,5.25,2.25,3.75,4.213772383366443,4.728043201966692,4.486980953215025
2021-06-01,0.53,8.346896570795526,5.25,2.25,3.75,4.735101910046602,5.083372357626459,5.082675883634424
